Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
ADS,Alliance Data Systems Corporation,231,USD,70.69,87.1,-0.65,"-3,790.71",16329.39,-18.84
ADUS,Addus HomeCare Corporation,-198,USD,84.68,101.3,-4.07,"3,290.76",16766.64,16.41
AEYE,AudioEye Inc,-2607,USD,7.53,8.28,-0.02,"1,955.25",19630.71,9.06
AIRT,Air T Inc. ,863,USD,25.43,26.37,-0.85,-811.22,21946.09,-3.56
ALT,Altimmune Inc,-1835,USD,9.48,10.99,-0.64,"2,770.85",17395.8,13.74
AMCX,AMC Networks Inc - Ordinary Shares - Class A,471,USD,38.55,42.77,1.51,"-1,987.62",18157.05,-9.87
AMKR,Amkor Technology Inc. ,856,USD,22.79,23.41,0.48,-530.72,19508.24,-2.65
APLT,Applied Therapeutics Inc,-1370,USD,10.67,14.66,-0.71,"5,466.30",14617.9,27.22
APVO,Aptevo Therapeutics Inc,-2655,USD,7.03,7.93,-1.01,"2,389.50",18664.65,11.35
ARCT,Arcturus Therapeutics Holdings Inc,-450,USD,37.01,43.5,-0.71,"2,920.50",16654.5,14.92
ARLP,Alliance Resource Partners L.P. ,2054,USD,10.01,10.36,-0.25,-718.9,20560.54,-3.38
ASIX,AdvanSix Inc,420,USD,44.39,47.18,-0.91,"-1,171.80",18643.8,-5.91
BAND,Bandwidth Inc - Ordinary Shares - Class A,-231,USD,67.09,85.34,-2.04,"4,215.75",15497.79,21.39
BLMN,Bloomin Brands Inc,1187,USD,18.55,18.75,-0.17,-237.4,22018.85,-1.07
BOOT,Boot Barn Holdings,172,USD,120.07,116.29,-2.13,650.16,20652.04,3.25
BSIG,BrightSphere Investment Group Inc,664,USD,27.33,30.24,-2.87,"-1,932.24",18147.12,-9.62
BSM,Black Stone Minerals LP,1555,USD,10.82,12.24,-0.18,"-2,208.10",16825.1,-11.6
BYRN,Byrna Technologies Inc,-1247,USD,13.07,15.8,-0.66,"3,404.31",16298.29,17.28
CDLX,Cardlytics,-217,USD,62.36,92.76,-3.69,"6,596.80",13532.12,32.77
CDNA,Caredx Inc,-410,USD,42.38,48.26,-0.92,"2,410.80",17375.8,12.18
CNR,"Cornerstone Building Brands, Inc.",1313,USD,16.48,16.43,-0.04,65.65,21638.24,0.3
COOP,Mr. Cooper Group Inc.,514,USD,40.13,41.54,-0.55,-724.74,20626.82,-3.39
CRDF,Cardiff Oncology Inc,-3464,USD,5.24,5.65,-0.22,"1,420.24",18151.36,7.26
CRVL,CorVel Corp.,108,USD,190.28,185.33,-4.56,534.6,20550.24,2.67
CVGW,"Calavo Growers, Inc.",-482,USD,40.35,41.91,-0.3,751.92,19448.7,3.72
CWH,Camping World Holdings Inc - Ordinary Shares - Class A,465,USD,41.44,42.51,0.24,-497.55,19269.6,-2.52
DMLP,"Dorchester Minerals, L.P.",1045,USD,17.69,19.24,0.11,"-1,619.75",18486.05,-8.06
EGLE,Eagle Bulk Shipping Inc. ,505,USD,40.6,42.35,-0.31,-883.75,20503,-4.13
