,ticker,date,marketcap,pb,mom,volume,volatility,roe,accruals,agr,sector,mktvol
603,AAN,2023-11-10,213.2,0.3,-0.15539931494501524,487401.8,0.07620724985193778,0.013269939154539499,-0.2652038043623288,-0.013237811696972024,Industrials,0.1568115661039658
700,AAOI,2023-11-10,346.8,1.9,2.240343347639485,1957137.0,0.21703818309258804,-0.384439524741901,-0.3465924261302955,-0.04746019286835612,Technology,0.1568115661039658
894,AAP,2023-11-10,3338.1,1.2,-0.7191384329308113,1516956.6,0.09244533581363913,0.12858490432691844,0.035921018469543146,0.003433265604530833,Consumer Cyclical,0.1568115661039658
1088,AAT,2023-11-10,1117.3,0.9,-0.3074330720587679,319105.6,0.0478527593788538,0.04074183606441399,-0.11398352508276739,0.00017806756292348958,Real Estate,0.1568115661039658
1300,AB,2023-11-10,2976.0,1.5,-0.2079038747726395,413910.8,0.035448062955943264,0.12222742764294592,-0.022774357131223034,-0.0020421498653984127,Financial Services,0.1568115661039658
1502,ABCB,2023-11-10,2724.1,0.8,-0.26674454828660443,277257.2,0.058385226037136646,0.08726053702813895,-0.0215130465650749,0.018700365521855833,Financial Services,0.1568115661039658
2008,ABM,2023-11-10,2620.6,1.4,0.02758588498879777,412254.2,0.04815263546443341,0.13375419214835274,0.00907476819885579,0.018750582075188538,Industrials,0.1568115661039658
2350,ABR,2023-11-10,2461.8,0.8,0.09461538461538455,4882163.0,0.05021859585472666,0.12175929583821289,-0.02618185909731906,-0.027528105814968895,Real Estate,0.1568115661039658
2861,AC,2023-11-10,728.7,0.8,-0.16359553852537034,6129.8,0.028047801857688476,0.020465345778581875,-0.0685736215667665,-0.04689099682401754,Financial Services,0.1568115661039658
2958,ACA,2023-11-10,3379.1,1.5,0.18744994254274494,327701.2,0.026953399144766122,0.12713687057936632,0.042659807986519145,0.00799477772317525,Industrials,0.1568115661039658
3083,ACAD,2023-11-10,3644.8,10.1,0.41183648566198894,1623170.6,0.08339544732635261,-0.3883709003691674,-0.14685007157593638,0.012075742542227319,Healthcare,0.1568115661039658
3242,ACCD,2023-11-10,538.2,1.2,-0.2770339855818744,509009.0,0.08590627920894639,-0.3057722645918768,-0.23107637285512062,-0.021346203670772224,Healthcare,0.1568115661039658
3380,ACDC,2023-11-10,1271.9,1.0,-0.6174469787915167,977229.6,0.0757510270426029,0.025309754207867588,-0.7412039619234031,0.3295716357758296,Energy,0.1568115661039658
3488,ACEL,2023-11-10,910.8,4.6,0.1911421911421911,320098.8,0.03781306840918499,0.22987504642010798,-0.42070644057291096,0.009624891549287584,Consumer Cyclical,0.1568115661039658
4256,ACIC,2023-11-10,319.0,2.8,17.749999999999996,435095.4,0.15263690944958413,1.2519479347605404,4.047968598434434,-0.10574564210029791,Financial Services,0.1568115661039658
4353,ACIW,2023-11-10,2837.7,2.3,-0.025024061597689995,5450471.0,0.06145694275388328,0.07513824265577658,-0.02956595968910552,-0.0006623779975751809,Technology,0.1568115661039658
4530,ACLX,2023-11-10,2200.8,7.5,0.4803395889186777,816753.0,0.09284484237746685,-0.4250566201499925,-1.5604395803102016,0.15086793566785972,Healthcare,0.1568115661039658
4724,ACMR,2023-11-10,1032.2,1.4,0.9957983193277313,1533800.0,0.09732233855936008,0.10253007134332716,0.16104386741167814,0.05238197736967387,Technology,0.1568115661039658
